"Ref","Qty","Value","Description","MPN","MOUSER","LCSC"
"C1, C3, C5, C22","4","100nF","Unpolarized capacitor","CL10B104KB8NNNC","187-CL10B104KB8NNNC","C1591"
"C2, C4, C20, C21","4","10uF","Unpolarized capacitor","CL10A106MA8NRNC","187-CL10A106MA8NRNC","C2922482"
"C6, C7","2","22pF","Unpolarized capacitor, small symbol","CL10C220JB8NNNC","187-CL10C220JB8NNNC","C1653"
"C8, C9, C17","3","100uF","Polarized capacitor","EEU-FM1E101","667-EEU-FM1E101","C1579509"
"C10, C11, C12, C13","4","10uF","Unpolarized capacitor","CL32A106KAJNNNE","187-CL32A106KAJNNNE","C66120"
"C14","1","470nF","Unpolarized capacitor","CL10A474KB8NNNC","187-CL10A474KB8NNNC","C170149"
"C15, C16","2","10nF","Unpolarized capacitor","CL10B103KB8NNNC","187-CL10B103KB8NNNC","C1589"
"C18","1","180uF","Polarized capacitor","16SVP180MX","667-16SVP180MX","C236288"
"C19","1","330uF","Polarized capacitor","16SVP330M","667-16SVP330M","C128487"
"D1","1","LED","Light emitting diode","150060VS75000","710-150060VS75000",""
"D2, D3, D4, D5","4","SSB44-E3","Schottky diode","SSB44-E3/52T","625-SSB44-E3","C466999"
"D6","1","GREEN","Light emitting diode","150060VS75000","710-150060VS75000",""
"D7","1","BLUE","Light emitting diode","150060BS75000","710-150060BS75000",""
"F1","1","1A","Resettable fuse, polymeric positive temperature coefficient","72R050XPR","576-72R050XPR","C207122"
"F2","1","4A","Resettable fuse, polymeric positive temperature coefficient","RF3357-000","","C142903"
"J3","1","MIC","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J4","1","LINE IN","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J6","1","FP_IO","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J10","1","PWR","DC Barrel Jack","PJ-102AH","490-PJ-102AH",""
"J11","1","BAT","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J16","1","CH_1","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J17","1","CH_2","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J18","1","CH_3","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"J19","1","CH_4","Audio Jack, 3 Poles (Stereo / TRS), Switched TR Poles (Normalling)","STX-3100-5N","806-STX-3100-5N",""
"L1, L2","2","15uH","Inductor with ferrite core","SRR1260-150M","652-SRR1260-150M","C2041333"
"Q1, Q2","2","BSS138","50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23","BSS138L","512-BSS138L","C890265"
"R1, R12, R17, R20, R21","5","1K","Resistor","RC0603FR-071KL","603-RC0603FR-071KL","C22548"
"R2, R3, R5, R6, R7, R8, R19","7","4.7K","Resistor","RC0603FR-074K7L","603-RC0603FR-074K7L","C99782"
"R4, R9, R11, R13, R15, R18","6","10K","Resistor","RC0603FR-0710KL","603-RC0603FR-0710KL","C98220"
"R10","1","100K","Resistor","RC0603FR-07100KL","603-RC0603FR-07100KL","C14675"
"R14","1","1.5K","Resistor","RC0603FR-071K5L","603-RC0603FR-071K5L","C114668"
"R16","1","3.24K","Resistor","RC0603FR-073K24L","603-RC0603FR-073K24L","C273779"
"SW1","1","PWR_SW","Switch, dual pole double throw, separate symbols","EG2219","612-EG2219",""
"U1","1","MCP4728","12-bit digital to analog converter, quad output, 2.048V internal reference, integrated EEPROM, I2C interface","MCP4728-E/UN","579-MCP4728-E/UN","C108207"
"U2","1","ATmega328PB-AU","20MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, TQFP-32","ATMEGA328PB-AU","556-ATMEGA328PB-AU","C132230"
"U3, U4","2","TPS5430DDA","3A, Step Down Swift Converter, Adjustable Output Voltage, 5.5-36V Input Voltage, PowerSO-8","TPS5430DDAR","595-TPS5430DDAR","C9864"
"U5","1","LM2941","LM2941x 1-A Low Dropout Adjustable Regulator","LM2941SX/NOPB","926-LM2941SX/NOPB","C95046"
"U6","1","NCP1117-3.3","1A Low drop-out regulator, Fixed Output 3.3V, SOT-223","NCP1117LPST33T3G","863-NCP1117LPST33T3G","C146799"
"Y1","1","16MHz","Two pin crystal","ABL-16.000MHZ-B2","815-ABL-16-B2",""
